reservation_id:ID(Reservation),check_in:date,check_out:date,status,total_amount:float,guest_id:ID(Guest),hotel_id:ID(Hotel)
663,2024-08-23,2024-09-02,booked,3500.00,4071,1
4217,2024-01-16,2024-01-21,booked,1750.00,7992,1
6846,2024-04-25,2024-05-01,checked_out,2100.00,737,1
8434,2024-11-13,2024-11-16,checked_out,1050.00,1390,1
17543,2024-07-27,2024-08-03,checked_out,2450.00,2505,1
3997,2024-05-18,2024-05-23,checked_in,600.00,4162,1
11573,2024-02-26,2024-03-07,checked_out,1200.00,4288,1
18861,2024-04-20,2024-04-27,checked_out,840.00,7805,1
1201,2024-09-09,2024-09-15,checked_out,720.00,3265,1
2617,2024-05-25,2024-05-26,checked_in,120.00,6138,1
8667,2024-09-23,2024-10-03,checked_out,1200.00,4428,1
12672,2024-02-03,2024-02-09,checked_out,720.00,1253,1
19122,2024-01-26,2024-01-31,checked_in,600.00,4500,1
19389,2024-06-09,2024-06-13,checked_out,480.00,3360,1
19722,2024-04-18,2024-04-27,checked_out,1080.00,991,1
14030,2024-02-16,2024-02-22,checked_out,2100.00,7565,1
19855,2024-04-04,2024-04-14,checked_out,3500.00,7379,1
803,2024-07-26,2024-07-29,booked,660.00,6582,1
3523,2024-04-15,2024-04-17,cancelled,440.00,3935,1
15131,2024-04-24,2024-04-25,checked_in,220.00,2877,1
19575,2024-10-21,2024-10-24,checked_out,660.00,7384,1
11291,2024-07-13,2024-07-23,checked_out,2200.00,4955,1
12626,2024-04-18,2024-04-28,checked_out,2200.00,2064,1
18897,2024-08-21,2024-08-30,checked_in,1980.00,5017,1
9754,2024-10-09,2024-10-13,cancelled,480.00,4978,1
12320,2024-12-15,2024-12-19,checked_out,480.00,4241,1
18511,2024-07-02,2024-07-09,checked_out,840.00,4958,1
1657,2024-07-03,2024-07-05,cancelled,240.00,409,1
2586,2024-08-08,2024-08-17,checked_out,1080.00,7296,1
6417,2024-05-26,2024-06-03,checked_out,960.00,1535,1
8600,2024-08-15,2024-08-23,checked_out,960.00,3469,1
13189,2024-12-23,2024-12-29,checked_out,720.00,582,1
16628,2024-09-24,2024-09-29,booked,600.00,4869,1
18166,2024-06-18,2024-06-23,checked_out,600.00,7953,1
7303,2024-04-27,2024-05-01,checked_out,320.00,4767,1
10810,2024-08-16,2024-08-20,checked_in,320.00,5152,1
13071,2024-06-07,2024-06-16,checked_in,720.00,5079,1
19667,2024-07-07,2024-07-11,checked_out,320.00,2596,1
9798,2024-08-05,2024-08-06,checked_out,120.00,4976,1
9811,2024-02-24,2024-02-26,checked_in,240.00,2262,1
12244,2024-12-23,2025-01-02,cancelled,1200.00,7928,1
523,2024-12-26,2024-12-30,checked_out,1400.00,6640,1
