:START_ID(Guest),:END_ID(Reservation)
1,1886
1,6065
1,7500
1,16426
1,18725
2,8714
2,12465
2,15633
4,18352
4,19133
5,925
5,3651
5,7209
5,8948
5,19566
6,928
6,7267
6,13340
7,904
9,4120
9,12136
9,17029
10,5479
10,10682
11,5618
11,19490
12,4508
12,9607
12,11763
13,1476
13,1897
13,3607
14,5121
14,7670
15,4081
15,17315
15,19158
16,3354
16,4736
16,8592
16,10133
16,14515
16,17503
17,1612
17,12007
17,17681
17,18406
18,4429
18,15770
18,18673
19,6634
19,9306
20,14720
21,14834
21,17573
22,1929
22,2015
22,9743
22,11269
23,8157
24,734
24,9140
24,17619
25,1819
25,4633
25,5708
25,9246
25,9901
25,16058
26,186
26,9187
27,3906
27,16130
28,1046
28,2958
28,4558
28,10338
29,5760
29,6838
30,18929
31,6354
31,7279
31,8126
31,16562
32,60
32,3153
32,12331
32,15370
32,19870
33,15972
33,18025
33,19826
33,19889
34,7194
34,8497
34,9608
36,4314
37,1112
37,3562
37,4427
38,673
38,2727
38,6087
38,7739
38,17690
40,10185
40,14078
40,14642
41,9508
42,8389
42,8637
42,14442
43,9642
43,15417
43,17244
45,897
46,15030
47,13490
49,1791
49,10006
49,16600
49,18334
50,8655
50,10099
51,5124
51,18457
52,8042
52,14656
53,1675
53,1806
53,18364
54,2862
54,18705
55,5426
55,12907
55,19175
56,3104
56,4153
56,17413
57,4484
57,8047
57,12419
58,7455
58,8137
58,9707
58,12033
59,2260
59,5896
59,13741
59,14196
59,19916
60,10139
60,10744
61,5459
61,17857
61,19609
62,14047
63,5493
63,7621
63,16707
64,3777
64,11534
64,15374
64,16115
66,14132
66,19615
67,1492
67,8145
67,10963
67,12698
67,15009
67,18175
68,10243
68,10592
68,14223
69,8884
69,9704
70,8910
70,17076
70,18605
71,1197
71,6410
72,9822
72,10250
72,14877
72,18841
73,2520
73,7904
73,14446
73,14518
74,915
74,8062
74,10753
75,7397
75,10453
75,12884
76,604
78,10609
79,6075
79,7305
79,12371
80,57
80,10596
81,181
81,19224
82,6528
83,5929
83,7569
83,11447
83,11657
84,3364
84,3711
84,8457
84,18484
85,13926
86,12
86,980
86,8227
87,2057
87,2150
87,10544
87,11429
87,12822
88,14144
89,6938
89,17431
90,1339
90,6662
90,7874
90,8813
90,12384
90,14639
90,15818
91,1234
91,9252
91,11282
92,638
92,7985
92,8479
92,15508
93,5271
93,5776
93,14343
94,10280
94,19436
95,13316
95,14849
96,6231
96,10290
96,15847
96,17706
98,8144
98,18589
99,4181
99,8045
99,10382
100,697
100,6857
100,11051
101,13171
101,14093
102,1212
102,5428
102,7811
102,8443
102,13678
103,14894
103,16364
104,10697
104,15439
104,19645
105,2535
105,11806
106,2301
106,16420
107,4673
107,6034
