:START_ID(Hotel),:END_ID(Reservation)
1,663
1,4217
1,6846
1,8434
1,17543
1,3997
1,11573
1,18861
1,1201
1,2617
1,8667
1,12672
1,19122
1,19389
1,19722
1,14030
1,19855
1,803
1,3523
1,15131
1,19575
1,11291
1,12626
1,18897
1,9754
1,12320
1,18511
1,1657
1,2586
1,6417
1,8600
1,13189
1,16628
1,18166
1,7303
1,10810
1,13071
1,19667
1,9798
1,9811
1,12244
1,523
1,7032
1,8299
1,9280
1,14918
1,17404
1,781
1,3055
1,5271
1,17971
1,19102
1,871
1,3647
1,8200
1,9002
1,12098
1,12528
1,2056
1,3270
1,4974
1,12010
1,16038
1,2185
1,8133
1,8908
1,14325
1,3453
1,4730
1,4787
1,5979
1,11485
1,19198
1,2542
1,3520
1,15211
1,15917
1,17051
1,2826
1,3260
1,10229
1,13573
1,14969
1,2098
1,2809
1,3727
1,17663
1,2296
1,6719
1,14471
1,5215
1,8779
1,14003
1,295
1,5010
1,5813
1,8787
1,10904
1,16179
1,17793
1,19991
1,375
1,1120
1,4659
1,5848
1,18499
2,4004
2,12159
2,309
2,5546
2,11328
2,17740
2,19317
2,25
2,11671
2,12390
2,3468
2,10522
2,10580
2,11081
2,16752
2,17202
2,18330
2,19648
2,2125
2,3920
2,5357
2,8912
2,1956
2,6612
2,13176
2,8795
2,11068
2,15967
2,16192
2,16613
2,131
2,2334
2,8466
2,11758
2,18849
2,3237
2,8410
2,9398
2,11244
2,11946
2,18179
2,19436
2,19683
2,2358
2,3282
2,6351
2,9758
2,11805
2,11918
2,4902
2,7238
2,9358
2,12771
2,14681
2,5912
2,12029
2,15615
2,2077
2,2401
2,2513
2,3178
2,9091
2,12407
2,15924
2,3792
2,3891
2,6601
2,6869
2,11830
2,19918
2,1997
2,19980
2,10267
2,11698
2,12635
2,5153
2,14849
2,5839
2,10399
2,17487
2,18613
2,6397
2,6721
2,14987
2,655
2,5382
2,10617
2,2252
2,6042
2,9267
2,14664
2,17705
2,4240
2,10851
2,13575
2,15577
2,608
2,939
2,6933
2,7476
2,10766
2,1025
2,4113
2,5916
2,319
2,8429
2,11512
2,4702
2,5123
2,7776
2,11495
2,14592
2,2110
2,2286
2,12409
2,15643
2,18119
2,814
2,2933
2,3088
2,5388
2,6609
2,9571
2,15124
2,18032
2,2121
2,12091
2,14111
2,986
2,11390
2,15216
2,16543
2,2442
2,2737
2,5526
2,8234
2,11549
2,274
2,1188
2,18767
2,3155
2,6084
2,19135
3,596
3,9715
3,2623
3,6152
3,10847
3,13658
3,16577
3,17727
3,18655
3,6128
3,10146
3,15554
3,5692
3,7712
3,7386
3,14818
3,17710
3,1878
3,8586
3,16697
3,1064
3,6948
3,16790
3,716
3,5111
3,16439
3,17457
3,17739
3,18999
3,19996
3,1684
3,5949
3,9253
3,19646
3,202
3,1848
3,3168
3,5431
3,5935
3,8525
3,7790
3,19412
3,12710
3,15180
3,15433
3,19758
3,1596
3,8955
3,10562
3,11112
3,15132
3,252
3,6884
3,19925
3,8894
3,12940
3,4319
3,7640
3,7820
3,12482
3,13576
3,13680
3,1042
3,9623
3,14462
3,14655
3,15847
3,5044
3,12075
3,12916
3,849
3,3759
3,13122
3,16268
3,16340
3,18502
3,833
3,4077
3,18584
3,10292
3,10635
3,12272
3,16441
3,18459
3,19836
3,2595
3,8356
3,11619
3,16302
3,5338
3,13417
3,15307
3,16960
3,421
3,16065
3,2978
3,4918
3,5022
3,8010
3,16014
3,16791
3,90
3,6879
3,12305
3,12555
3,17282
3,18327
3,7327
3,15936
3,16516
3,12241
3,17601
3,18925
3,7679
3,8063
3,10959
3,18915
3,9678
3,10876
3,2144
3,18172
3,3780
3,4221
3,17608
3,19078
3,9138
3,9221
3,16140
3,3810
3,10382
3,8883
3,9188
3,12786
3,18022
3,5240
3,16259
3,19531
4,1320
4,2874
4,2928
4,8567
4,11046
4,11324
4,13859
4,1005
4,5633
4,7093
4,11152
4,12499
4,17011
4,17786
4,619
4,3207
4,8523
4,15702
4,18334
4,3413
4,6003
4,11444
4,14039
4,16571
4,12233
4,14066
4,18638
4,374
4,5349
4,6999
4,7046
4,15768
4,13305
4,14393
4,15732
4,8924
4,13810
4,16075
4,19947
4,57
4,15409
4,6701
4,15347
4,17273
4,3199
4,3699
4,9648
4,2552
4,5505
4,10622
4,14708
4,18310
4,19971
4,785
4,4873
4,5595
4,17902
4,18078
4,5445
4,7374
4,11061
4,14903
4,17866
4,18632
4,19044
4,3401
4,4294
4,6255
4,8138
4,9110
4,12344
4,15257
4,1857
4,2291
4,9643
4,10536
4,18247
4,3980
4,9888
4,13884
4,556
4,4908
4,10302
4,19541
4,1176
4,6814
4,7382
4,9121
4,9912
4,10269
4,11820
4,804
4,5698
4,9687
4,10893
4,15053
4,18605
4,647
4,5710
4,6848
4,14326
4,15827
4,17587
4,15816
4,18924
4,13270
4,13997
4,14168
4,1117
4,12756
4,15170
4,17003
4,4251
4,6992
4,8838
4,9228
4,18960
4,2910
4,5525
4,9985
4,15527
4,15573
4,19188
4,3280
4,3592
4,4228
4,4878
4,17427
4,18342
4,1963
4,5548
4,13603
4,6266
4,6326
4,15067
4,15610
4,136
4,7942
4,13855
4,17518
4,8125
4,15646
4,855
4,13809
4,18946
4,10919
4,16352
4,16952
4,17649
4,1733
4,7403
4,10371
4,17362
4,19339
4,287
4,642
4,7575
4,9549
4,16243
4,1028
4,2509
4,7836
4,8593
4,11961
5,6929
5,11334
5,16458
5,18382
5,7548
5,9376
5,14192
5,3384
5,5675
5,13824
5,18443
5,402
